authority,tariff,effective_date,fr_number,fr_name,fr_link
ieepa,fentanyl,2025-02-04,2025-02408,imposing duties to address the synthetic opioid supply chain in the peoples republic of china,https://www.federalregister.gov/documents/2025/02/07/2025-02408/imposing-duties-to-address-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
ieepa,fentanyl,2025-03-04,2025-03664,notice of implementation of additional duties on products of canada pursuant to the presidents,https://www.federalregister.gov/documents/2025/03/06/2025-03664/notice-of-implementation-of-additional-duties-on-products-of-canada-pursuant-to-the-presidents
ieepa,fentanyl,2025-03-04,2025-03665,notice of implementation of additional duties on products of mexico pursuant to the presidents,https://www.federalregister.gov/documents/2025/03/06/2025-03665/notice-of-implementation-of-additional-duties-on-products-of-mexico-pursuant-to-the-presidents
ieepa,fentanyl,2025-03-04,2025-03775,further amendment to duties addressing the synthetic opioid supply chain in the peoples republic of china,https://www.federalregister.gov/documents/2025/03/07/2025-03775/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of
ieepa,fentanyl,2025-08-01,2025-14999,amendment to duties to address the flow of illicit drugs across our northern border,https://www.federalregister.gov/documents/2025/08/06/2025-14999/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
ieepa,fentanyl,2025-11-09,2025-19825,modifying duties addressing the synthetic opioid supply chain in the peoples republic of china,https://www.federalregister.gov/documents/2025/11/07/2025-19825/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
ieepa,reciprocal,2025-04-05,2025-06063,regulating imports with a reciprocal tariff to rectify trade practices that contribute to large and,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and
ieepa,reciprocal,2025-04-09,2025-06378,amendment to reciprocal tariffs and updated duties as applied to low value imports from the peoples,https://www.federalregister.gov/documents/2025/04/14/2025-06378/amendment-to-reciprocal-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples
ieepa,reciprocal,2025-04-10,WH,modifying reciprocal tariff rates to reflect trading partner retaliation and alignment,https://www.whitehouse.gov/presidential-actions/2025/04/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment/
ieepa,reciprocal,2025-05-14,WH,modifying reciprocal tariff rates to reflect discussions with the peoples republic of china,https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/
ieepa,reciprocal,2025-08-07,2025-15010,further modifying the reciprocal tariff rates,https://www.federalregister.gov/documents/2025/08/06/2025-15010/further-modifying-the-reciprocal-tariff-rates
ieepa,reciprocal,2025-08-27,2025-16419,notice of implementation of additional duties on products of india pursuant to the presidents,https://www.federalregister.gov/documents/2025/08/27/2025-16419/notice-of-implementation-of-additional-duties-on-products-of-india-pursuant-to-the-presidents
ieepa,reciprocal,2025-11-14,2025-23316,implementing certain tariff related elements of the framework for a united,https://www.federalregister.gov/documents/2025/12/18/2025-23316/implementing-certain-tariff-related-elements-of-the-framework-for-a-united
ieepa,reciprocal,2026-02-07,WH,modifying duties to address threats to the united states by the government of the russian federation 04b2,https://www.whitehouse.gov/presidential-actions/2026/02/modifying-duties-to-address-threats-to-the-united-states-by-the-government-of-the-russian-federation-04b2/
s122,section_122,2026-02-24,2026-03824,imposing a temporary import surcharge to address fundamental international payments problems,https://www.federalregister.gov/documents/2026/02/25/2026-03824/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems
s232,aluminum,2025-01-01,2018-05477,adjusting imports of aluminum into the united states,https://www.federalregister.gov/documents/2018/03/15/2018-05477/adjusting-imports-of-aluminum-into-the-united-states
