revision,effective_date,n_products,n_countries,n_rows,mean_base_rate,mean_total_additional,mean_total_rate,max_total_rate,pct_232,pct_301,pct_ieepa_recip,pct_ieepa_fent,pct_s122,pct_usmca,n_negative_rates,n_na_total
basic,2025-01-01,20204,240,4848960,0.0497,0.0092,0.0589,3.5,3.5,0.4,0,0,0,63.1,0,0
rev_1,2025-02-04,20206,240,4849440,0.0497,0.01,0.0597,3.6,3.5,0.4,0,0.8,0,63.1,0,0
rev_2,2025-02-05,20206,240,4849440,0.0497,0.01,0.0597,3.6,3.5,0.4,0,0.8,0,63.1,0,0
rev_3,2025-03-04,20206,240,4849440,0.0497,0.0117,0.0614,3.75,3.5,0.4,0,1.4,0,63.1,0,0
rev_4,2025-03-07,20206,240,4849440,0.0497,0.0126,0.0623,3.75,4.6,0.4,0,1.4,0,63.1,0,0
bnd_2025-03-12,2025-03-12,20206,240,4849440,0.0497,0.0177,0.0674,3.75,6.6,0.4,0,1.4,0,63.1,0,0
rev_5,2025-03-14,20206,240,4849440,0.0497,0.0177,0.0674,3.75,6.6,0.4,0,1.4,0,63.1,0,0
rev_6,2025-04-03,20206,240,4849440,0.0497,0.0186,0.0682,3.75,7,0.4,0,1.4,0,63.1,0,0
rev_7,2025-04-05,20206,240,4849440,0.0497,0.1039,0.1536,4.04,7,0.4,87.4,1.4,0,63.1,0,0
rev_8,2025-04-09,20206,240,4849440,0.0497,0.109,0.1587,4.54,7,0.4,87.4,1.4,0,63.1,0,0
rev_9,2025-04-10,20206,240,4849440,0.0497,0.1117,0.1613,4.95,7,0.4,87.3,1.4,0,63.1,0,0
rev_10,2025-04-15,20206,240,4849440,0.0497,0.1117,0.1613,4.95,7,0.4,87.3,1.4,0,63.1,0,0
rev_11,2025-05-03,20206,240,4849440,0.0497,0.1135,0.1631,4.95,8.3,0.4,87.3,1.4,0,63.1,0,0
rev_12,2025-05-14,20206,240,4849440,0.0497,0.1019,0.1516,3.8,8.3,0.4,87.3,1.4,0,63.1,0,0
rev_13,2025-05-16,20206,240,4849440,0.0497,0.1019,0.1516,3.8,8.3,0.4,87.3,1.4,0,63.1,0,0
bnd_2025-06-01,2025-06-01,20206,240,4849440,0.0497,0.1019,0.1516,3.8,8.3,0.4,87.3,1.4,0,63.1,0,0
rev_14,2025-06-04,20206,240,4849440,0.0497,0.1164,0.166,3.8,8.3,0.4,87.3,1.4,0,63.1,0,0
rev_15,2025-06-23,20206,240,4849440,0.0497,0.1164,0.1661,3.8,8.3,0.4,87.3,1.4,0,63.1,0,0
rev_16,2025-07-01,20242,240,4858080,0.0496,0.1164,0.166,3.8,8.4,0.4,87.3,1.4,0,63,0,0
rev_17,2025-08-01,20241,240,4857840,0.0496,0.1185,0.1681,3.85,8.9,0.4,87.9,1.4,0,63,0,0
rev_18,2025-08-07,20241,240,4857840,0.0496,0.141,0.1906,4,8.9,0.4,87.2,1.4,0,63,0,0
rev_19,2025-08-18,20241,240,4857840,0.0496,0.1438,0.1934,4,12.9,0.4,87.2,1.4,0,63,0,0
rev_20,2025-08-27,20241,240,4857840,0.0496,0.1446,0.1942,4,12.9,0.4,87.2,1.4,0,63,0,0
bnd_2025-09-01,2025-09-01,20241,240,4857840,0.0496,0.1447,0.1942,4,12.9,0.4,87.2,1.4,0,63,0,0
rev_21,2025-09-02,20241,240,4857840,0.0496,0.1446,0.1942,4,12.9,0.4,87.2,1.4,0,63,0,0
rev_22,2025-09-08,20241,240,4857840,0.0496,0.1444,0.194,4,12.9,0.4,87,1.4,0,63,0,0
rev_23,2025-09-16,20241,240,4857840,0.0496,0.1444,0.194,4,12.9,0.4,87,1.4,0,63,0,0
rev_24,2025-09-25,20241,240,4857840,0.0496,0.1432,0.1928,4,12.9,0.4,86.2,1.4,0,63,0,0
rev_25,2025-10-14,20241,240,4857840,0.0496,0.1457,0.1952,4,13.5,0.4,88.2,1.4,0,63,0,0
rev_26,2025-11-01,20241,240,4857840,0.0496,0.1462,0.1958,4,13.8,0.4,88.2,1.4,0,63,0,0
rev_27,2025-11-09,20241,240,4857840,0.0496,0.1455,0.1951,4,13.8,0.4,88.2,1.4,0,63,0,0
rev_28,2025-11-10,20241,240,4857840,0.0496,0.1455,0.1951,4,13.8,0.4,88.2,1.4,0,63,0,0
rev_29,2025-11-13,20241,240,4857840,0.0496,0.1428,0.1924,4,13.8,0.4,86.1,1.4,0,63,0,0
bnd_2025-11-14,2025-11-14,20241,240,4857840,0.0496,0.1417,0.1913,4,13.8,0.4,86.1,1.4,0,63,0,0
rev_30,2025-11-21,20241,240,4857840,0.0496,0.1417,0.1913,4,13.8,0.4,86.1,1.4,0,63,0,0
rev_31,2025-11-30,20241,240,4857840,0.0496,0.1417,0.1913,4,13.8,0.4,86.1,1.4,0,63,0,0
rev_32,2025-12-05,20241,240,4857840,0.0496,0.1417,0.1913,4,13.8,0.4,86.1,1.4,0,63,0,0
2026_basic,2026-01-01,20241,240,4857840,0.0496,0.1416,0.1912,4,13.8,0.4,86,1.4,0,63,0,0
2026_rev_1,2026-01-15,20241,240,4857840,0.0496,0.1416,0.1912,4,13.8,0.4,86,1.4,0,63,0,0
2026_rev_2,2026-02-01,20328,240,4878720,0.0496,0.1415,0.1911,4,13.9,0.4,85.8,1.4,0,62.9,0,0
2026_rev_3,2026-02-07,20329,240,4878960,0.0496,0.1407,0.1903,4,13.9,0.4,85.8,1.4,0,62.9,0,0
bnd_2026-02-20,2026-02-20,20329,240,4878960,0.0496,0.0411,0.0907,3.5,13.9,0.4,0,0,0,62.9,0,0
2026_rev_4,2026-02-24,20329,240,4878960,0.0496,0.1159,0.1654,3.6,13.9,0.4,0,0,83.2,62.9,0,0
2026_rev_5,2026-04-06,20329,240,4878960,0.0496,0.1197,0.1693,3.6,13.7,0.4,0,0,83.2,62.9,0,0
2026_rev_6,2026-04-23,20329,240,4878960,0.0496,0.1197,0.1693,3.6,13.7,0.4,0,0,83.2,62.9,0,0
2026_rev_7,2026-04-29,20329,240,4878960,0.0496,0.1197,0.1693,3.6,13.7,0.4,0,0,83.2,62.9,0,0
2026_rev_9,2026-05-01,20329,240,4878960,0.0495,0.1197,0.1692,3.6,13.7,0.4,0,0,83.2,62.9,0,0
2026_rev_10,2026-06-08,20329,240,4878960,0.0496,0.108,0.1502,3.6,13.6,0.4,0,0,83.2,62.9,0,0
bnd_2026-09-29,2026-09-29,20329,240,4878960,0.0496,0.0493,0.0915,3.5,14.1,0.4,0,0,0,62.9,0,0
