country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Mexico,2010,489351557523,0,323195,10890852,19706184473,22388795,923048,2037960,509645411,1309007929,92718503,9065,134122462,203208090,2912,10513729586,1620331,485409052,1906424101,254341195,631542230,218155461,11937168,424399494,10654833412,12929227866,2575925271,3258524236,1017976979,693360094,2505112702,4904038423,7973424757,1013341322,11200612169,4586424389,4401023043,7882532004,9819468967,89580189578,63397387516,49447996161,134289059232,4271596116,26510481973,0,562236722
China,5700,419594576206,0,0,1341279,397733589,21000694,7977,350721,274602862,0,204830542,23796,40331561,15875189,9715039,0,188201,347817105,219363,8837355,70819564,2169591,56468571,2489868,4657183989,198117972,12874271571,19186254437,12715889259,2134601700,5223044469,422166376,14021067804,10487680970,19896412471,6247988617,1534872102,1895379479,20185929956,122768437016,58495601512,33095058426,14965776249,4243275102,52890743862,0,2094286840
Canada,1220,392351171314,48865,698108933,567907165,3239531459,554171456,14404650,147418,1032361501,1796171125,858842408,153507,205928248,1378278018,196010516,96406151105,5272149629,1434844803,2777964645,1954354323,6171116798,272539246,26354966,359160192,20682084990,1872420476,1030740449,713261406,155526861,11093152767,10256671527,19808600456,24262072448,5329721936,11333354147,2699301091,9233306219,23075262368,8369746500,7453682677,9112397697,20583180259,52094035230,15373332726,10312902470,2289715638,2052053656
Germany (Federal Republic of Germany),4280,149899400959,0,7259248,39688624,3819366,3994255,6702,249741,85198076,267197511,23658181,0,6945526,243027,94768,0,0,20691288,1150042,13983528,43561457,79541916,83678,3554653,1713578736,347135973,686385494,32363934,459936201,754153539,1132561208,1005229449,10519426584,17021248696,2677785315,1245937808,2177145767,3024540048,4087363024,13154769752,8228373412,29473164019,35490752773,9100499616,6966128024,0,10655301546
Japan,5880,143594793014,3472,0,51487,11019417,240598,0,107462,58914518,12195235,5972988,0,443135,73985598,0,0,0,35637932,72174190,118515,67928958,6367930,16010963,355886,951019933,252844061,509157117,96158818,18921225,37806592,254395137,356344062,8321845566,6418299240,3386157661,1099592518,1877006378,1168377735,2561412643,13026027392,11048328159,31876912449,51831568127,4924202703,3216887214,0,4711047275
Vietnam,5520,139275271003,0,0,219257,1000307861,660319,1560864,755515,647565715,0,131268816,0,2228452,5322216,0,0,0,20512660,0,4169106,112052367,302696,27912803,19559,2819891172,55593316,1213269278,15613452125,10200492074,1143355647,942279689,1541703,424308059,67964357,4901008562,1060595599,1277153481,275454690,2326168559,61961229983,9840174147,5577761378,721121453,546405846,16351191679,0,3461672
South Korea (Republic of Korea),5800,128337686302,0,0,431275,67353924,230565,0,7814,11533804,510000,2067968,0,275184,60972432,4960,0,0,17604025,0,6686505,10008118,29586028,5356774,1143586,1388095513,180742733,1005970824,191888380,61703481,12281015,780625592,5163577543,9587947819,3176875508,3477551646,576177576,3288903161,2323596921,3384934828,19548932929,11316924963,15299964776,44744527320,836717294,1775973518,0,2876659136
Taiwan,5830,112806321623,0,0,177454,3665496,997632,0,24211,79386070,0,12039563,0,569297,7313404,0,0,0,809538,0,69376,18634148,3823159,4535535,2090801,691414339,64038773,579640264,162536269,109295944,49671919,301418725,407389810,2477710381,436560680,2421776091,393125138,1494257717,305286789,5619314458,77895239747,6050876235,5849717014,2039118235,1740246173,3583551238,0,139542530
Ireland,4190,92208399352,0,0,0,2593,0,0,3231,285172,122592696,5744197,0,88700,8563967,14035146,0,0,41401562,26794330,25045172,3922024,689028163,0,0,329694242,562024039,27233461,5333779,884656,11219863,23390056,22579545,6047590251,70794943921,114043392,20537214,2162523,10970871,50831237,4685467796,458585402,1039838486,11761934,50932926,7000866805,0,62043011034
India,5330,86254306967,11289,6517,4291927,144462788,64802769,39916,36277858,427452488,0,151246796,12429,51358264,7168121,9920,0,0,88176173,174821,97200,188061320,32735459,378530882,12309237,4163524278,97440676,5747725562,5074012251,958716547,314319909,576635717,3109969054,4732210033,13323617558,2021340483,2560164080,1180495777,701193659,3229120067,11295929096,3386210501,6358013076,2577986156,663729944,12594726369,0,4648171046
