prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
02011005,rev_29,2026_rev_9,2025-11-13,NA,NA
02011010,rev_29,2026_rev_9,2025-11-13,NA,NA
02011050,rev_29,2026_rev_9,2025-11-13,NA,NA
02012002,rev_29,2026_rev_9,2025-11-13,NA,NA
02012004,rev_29,2026_rev_9,2025-11-13,NA,NA
02012006,rev_29,2026_rev_9,2025-11-13,NA,NA
02012010,rev_29,2026_rev_9,2025-11-13,NA,NA
02012030,rev_29,2026_rev_9,2025-11-13,NA,NA
02012050,rev_29,2026_rev_9,2025-11-13,NA,NA
02012080,rev_29,2026_rev_9,2025-11-13,NA,NA
02013002,rev_29,2026_rev_9,2025-11-13,NA,NA
02013004,rev_29,2026_rev_9,2025-11-13,NA,NA
02013006,rev_29,2026_rev_9,2025-11-13,NA,NA
02013010,rev_29,2026_rev_9,2025-11-13,NA,NA
02013030,rev_29,2026_rev_9,2025-11-13,NA,NA
02013050,rev_29,2026_rev_9,2025-11-13,NA,NA
02013080,rev_29,2026_rev_9,2025-11-13,NA,NA
02021005,rev_29,2026_rev_9,2025-11-13,NA,NA
02021010,rev_29,2026_rev_9,2025-11-13,NA,NA
02021050,rev_29,2026_rev_9,2025-11-13,NA,NA
02022002,rev_29,2026_rev_9,2025-11-13,NA,NA
02022004,rev_29,2026_rev_9,2025-11-13,NA,NA
02022006,rev_29,2026_rev_9,2025-11-13,NA,NA
02022010,rev_29,2026_rev_9,2025-11-13,NA,NA
02022030,rev_29,2026_rev_9,2025-11-13,NA,NA
02022050,rev_29,2026_rev_9,2025-11-13,NA,NA
02022080,rev_29,2026_rev_9,2025-11-13,NA,NA
02023002,rev_29,2026_rev_9,2025-11-13,NA,NA
02023004,rev_29,2026_rev_9,2025-11-13,NA,NA
02023006,rev_29,2026_rev_9,2025-11-13,NA,NA
02023010,rev_29,2026_rev_9,2025-11-13,NA,NA
02023030,rev_29,2026_rev_9,2025-11-13,NA,NA
02023050,rev_29,2026_rev_9,2025-11-13,NA,NA
02023080,rev_29,2026_rev_9,2025-11-13,NA,NA
02061000,rev_29,2026_rev_9,2025-11-13,NA,NA
02062100,rev_29,2026_rev_9,2025-11-13,NA,NA
02062200,rev_29,2026_rev_9,2025-11-13,NA,NA
02062900,rev_29,2026_rev_9,2025-11-13,NA,NA
02102000,rev_29,2026_rev_9,2025-11-13,NA,NA
05080000,rev_7,2026_rev_9,NA,NA,NA
07020020,rev_29,2026_rev_9,2025-11-13,NA,NA
07020040,rev_29,2026_rev_9,2025-11-13,NA,NA
07020060,rev_29,2026_rev_9,2025-11-13,NA,NA
07099905,rev_29,2026_rev_9,2025-11-13,NA,NA
07099910,rev_29,2026_rev_9,2025-11-13,NA,NA
07108015,rev_29,2026_rev_9,2025-11-13,NA,NA
07119030,rev_29,2026_rev_9,2025-11-13,NA,NA
07123200,rev_29,2026_rev_9,2025-11-13,NA,NA
07123410,rev_29,2026_rev_9,2025-11-13,NA,NA
07123420,rev_29,2026_rev_9,2025-11-13,NA,NA
07133420,rev_29,2026_rev_9,2025-11-13,NA,NA
07133440,rev_29,2026_rev_9,2025-11-13,NA,NA
07141010,rev_29,2026_rev_9,2025-11-13,NA,NA
07141020,rev_29,2026_rev_9,2025-11-13,NA,NA
07144010,rev_29,2026_rev_9,2025-11-13,NA,NA
07144020,rev_29,2026_rev_9,2025-11-13,NA,NA
07144050,rev_29,2026_rev_9,2025-11-13,NA,NA
07144060,rev_29,2026_rev_9,2025-11-13,NA,NA
07145010,rev_29,2026_rev_9,2025-11-13,NA,NA
07145020,rev_29,2026_rev_9,2025-11-13,NA,NA
07145060,rev_29,2026_rev_9,2025-11-13,NA,NA
07149042,rev_29,2026_rev_9,2025-11-13,NA,NA
07149044,rev_29,2026_rev_9,2025-11-13,NA,NA
07149046,rev_29,2026_rev_9,2025-11-13,NA,NA
07149048,rev_29,2026_rev_9,2025-11-13,NA,NA
07149061,rev_29,2026_rev_9,2025-11-13,NA,NA
08011100,rev_29,2026_rev_9,2025-11-13,NA,NA
08011200,rev_29,2026_rev_9,2025-11-13,NA,NA
08011901,rev_29,2026_rev_9,2025-11-13,NA,NA
08012100,rev_29,2026_rev_9,2025-11-13,NA,NA
08012200,rev_29,2026_rev_9,2025-11-13,NA,NA
08013100,rev_29,2026_rev_9,2025-11-13,NA,NA
08013200,rev_29,2026_rev_9,2025-11-13,NA,NA
08024100,rev_29,2026_rev_9,2025-11-13,NA,NA
08024200,rev_29,2026_rev_9,2025-11-13,NA,NA
08026100,rev_29,2026_rev_9,2025-11-13,NA,NA
08026200,rev_29,2026_rev_9,2025-11-13,NA,NA
08027010,rev_29,2026_rev_9,2025-11-13,NA,NA
08027020,rev_29,2026_rev_9,2025-11-13,NA,NA
08028010,rev_29,2026_rev_9,2025-11-13,NA,NA
08028020,rev_29,2026_rev_9,2025-11-13,NA,NA
08029110,rev_29,2026_rev_9,2025-11-13,NA,NA
08029190,rev_29,2026_rev_9,2025-11-13,NA,NA
08029210,rev_29,2026_rev_9,2025-11-13,NA,NA
08029290,rev_29,2026_rev_9,2025-11-13,NA,NA
08031010,rev_29,2026_rev_9,2025-11-13,NA,NA
08031020,rev_29,2026_rev_9,2025-11-13,NA,NA
08039000,rev_29,2026_rev_9,2025-11-13,NA,NA
08043020,rev_29,2026_rev_9,2025-11-13,NA,NA
08043040,rev_29,2026_rev_9,2025-11-13,NA,NA
08043060,rev_29,2026_rev_9,2025-11-13,NA,NA
08044000,rev_29,2026_rev_9,2025-11-13,NA,NA
08045040,rev_29,2026_rev_9,2025-11-13,NA,NA
08045060,rev_29,2026_rev_9,2025-11-13,NA,NA
08045080,rev_29,2026_rev_9,2025-11-13,NA,NA
08051000,rev_29,2026_rev_9,2025-11-13,NA,NA
08055030,rev_29,2026_rev_9,2025-11-13,NA,NA
08055040,rev_29,2026_rev_9,2025-11-13,NA,NA
08072000,rev_29,2026_rev_9,2025-11-13,NA,NA
08084020,rev_29,2026_rev_9,2025-11-13,NA,NA
08084040,rev_29,2026_rev_9,2025-11-13,NA,NA
08105000,rev_29,2026_rev_9,2025-11-13,NA,NA
08106000,rev_29,2026_rev_9,2025-11-13,NA,NA
08109027,rev_29,2026_rev_9,2025-11-13,NA,NA
08109046,rev_29,2026_rev_9,2025-11-13,NA,NA
08119010,rev_29,2026_rev_9,2025-11-13,NA,NA
08119025,rev_29,2026_rev_9,2025-11-13,NA,NA
08119030,rev_29,2026_rev_9,2025-11-13,NA,NA
08119040,rev_29,2026_rev_9,2025-11-13,NA,NA
08119050,rev_29,2026_rev_9,2025-11-13,NA,NA
08119052,rev_29,2026_rev_9,2025-11-13,NA,NA
08129040,rev_29,2026_rev_9,2025-11-13,NA,NA
