hts8,category,country_group,ch99_code,effective_date_start
01061400,ptaap,swiss,9903.02.84,2026-01-01
01061930,ptaap,swiss,9903.02.84,2026-01-01
01061991,ptaap,swiss,9903.02.84,2026-01-01
01062000,ptaap,swiss,9903.02.84,2026-01-01
01063100,ptaap,swiss,9903.02.84,2026-01-01
01063901,ptaap,swiss,9903.02.84,2026-01-01
01069001,ptaap,swiss,9903.02.84,2026-01-01
02085000,ptaap,swiss,9903.02.84,2026-01-01
02089025,ptaap,swiss,9903.02.84,2026-01-01
04101000,ptaap,swiss,9903.02.84,2026-01-01
05010000,ptaap,swiss,9903.02.84,2026-01-01
05100040,ptaap,swiss,9903.02.84,2026-01-01
06011015,ptaap,swiss,9903.02.84,2026-01-01
06011030,ptaap,swiss,9903.02.84,2026-01-01
06011045,ptaap,swiss,9903.02.84,2026-01-01
06011060,ptaap,swiss,9903.02.84,2026-01-01
06011075,ptaap,swiss,9903.02.84,2026-01-01
06011090,ptaap,swiss,9903.02.84,2026-01-01
06012090,ptaap,swiss,9903.02.84,2026-01-01
06021000,ptaap,swiss,9903.02.84,2026-01-01
06024000,ptaap,swiss,9903.02.84,2026-01-01
06029030,ptaap,swiss,9903.02.84,2026-01-01
06029060,ptaap,swiss,9903.02.84,2026-01-01
06031100,ptaap,swiss,9903.02.84,2026-01-01
06031230,ptaap,swiss,9903.02.84,2026-01-01
06031270,ptaap,swiss,9903.02.84,2026-01-01
06031400,ptaap,swiss,9903.02.84,2026-01-01
06031500,ptaap,swiss,9903.02.84,2026-01-01
06031901,ptaap,swiss,9903.02.84,2026-01-01
06039000,ptaap,swiss,9903.02.84,2026-01-01
06042000,ptaap,swiss,9903.02.84,2026-01-01
06049010,ptaap,swiss,9903.02.84,2026-01-01
06049030,ptaap,swiss,9903.02.84,2026-01-01
06049060,ptaap,swiss,9903.02.84,2026-01-01
07119030,ptaap,eu,9903.02.74,2025-09-25
08105000,ptaap,eu,9903.02.74,2025-09-25
09042220,ptaap,eu,9903.02.74,2025-09-25
09102000,ptaap,eu,9903.02.74,2025-09-25
12129400,ptaap,swiss,9903.02.84,2026-01-01
13021921,ptaap,swiss,9903.02.84,2026-01-01
13023100,ptaap,swiss,9903.02.84,2026-01-01
13023200,ptaap,swiss,9903.02.84,2026-01-01
14049030,ptaap,swiss,9903.02.84,2026-01-01
14049040,ptaap,swiss,9903.02.84,2026-01-01
15153000,ptaap,swiss,9903.02.84,2026-01-01
15159021,ptaap,swiss,9903.02.84,2026-01-01
21013000,ptaap,swiss,9903.02.84,2026-01-01
21022060,ptaap,swiss,9903.02.84,2026-01-01
25041010,ptaap,eu,9903.02.74,2025-09-25
25041010,ptaap,swiss,9903.02.84,2026-01-01
25041050,ptaap,eu,9903.02.74,2025-09-25
25041050,ptaap,swiss,9903.02.84,2026-01-01
25049000,ptaap,eu,9903.02.74,2025-09-25
25049000,ptaap,swiss,9903.02.84,2026-01-01
25111010,ptaap,eu,9903.02.74,2025-09-25
25111010,ptaap,swiss,9903.02.84,2026-01-01
25111050,ptaap,eu,9903.02.74,2025-09-25
25111050,ptaap,swiss,9903.02.84,2026-01-01
25191000,ptaap,eu,9903.02.74,2025-09-25
25191000,ptaap,swiss,9903.02.84,2026-01-01
25199010,ptaap,eu,9903.02.74,2025-09-25
25199010,ptaap,swiss,9903.02.84,2026-01-01
25199020,ptaap,eu,9903.02.74,2025-09-25
25199020,ptaap,swiss,9903.02.84,2026-01-01
25249000,ptaap,eu,9903.02.74,2025-09-25
