hts10,effective_date_start,effective_date_end
0201100500,2025-11-13,NA
0201100510,2025-11-13,NA
0201100590,2025-11-13,NA
0201101000,2025-11-13,NA
0201101010,2025-11-13,NA
0201101090,2025-11-13,NA
0201105000,2025-11-13,NA
0201105010,2025-11-13,NA
0201105090,2025-11-13,NA
0201200200,2025-11-13,NA
0201200400,2025-11-13,NA
0201200600,2025-11-13,NA
0201201000,2025-11-13,NA
0201203000,2025-11-13,NA
0201205000,2025-11-13,NA
0201205015,2025-11-13,NA
0201205025,2025-11-13,NA
0201205035,2025-11-13,NA
0201205045,2025-11-13,NA
0201205065,2025-11-13,NA
0201205075,2025-11-13,NA
0201205091,2025-11-13,NA
0201208000,2025-11-13,NA
0201208010,2025-11-13,NA
0201208090,2025-11-13,NA
0201300200,2025-11-13,NA
0201300400,2025-11-13,NA
0201300600,2025-11-13,NA
0201301000,2025-11-13,NA
0201303000,2025-11-13,NA
0201305000,2025-11-13,NA
0201305015,2025-11-13,NA
0201305025,2025-11-13,NA
0201305035,2025-11-13,NA
0201305045,2025-11-13,NA
0201305055,2025-11-13,NA
0201305065,2025-11-13,NA
0201305075,2025-11-13,NA
0201305085,2025-11-13,NA
0201305091,2025-11-13,NA
0201305097,2025-11-13,NA
0201308000,2025-11-13,NA
0201308010,2025-11-13,NA
0201308090,2025-11-13,NA
0202100500,2025-11-13,NA
0202100510,2025-11-13,NA
0202100590,2025-11-13,NA
0202101000,2025-11-13,NA
0202101010,2025-11-13,NA
0202101090,2025-11-13,NA
0202105000,2025-11-13,NA
0202105010,2025-11-13,NA
0202105090,2025-11-13,NA
0202200200,2025-11-13,NA
0202200400,2025-11-13,NA
0202200600,2025-11-13,NA
0202201000,2025-11-13,NA
0202203000,2025-11-13,NA
0202205000,2025-11-13,NA
0202205025,2025-11-13,NA
0202205035,2025-11-13,NA
0202205045,2025-11-13,NA
0202205090,2025-11-13,NA
0202208000,2025-11-13,NA
0202300200,2025-11-13,NA
0202300400,2025-11-13,NA
0202300600,2025-11-13,NA
0202301000,2025-11-13,NA
0202303000,2025-11-13,NA
0202305000,2025-11-13,NA
0202305015,2025-11-13,NA
0202305025,2025-11-13,NA
0202305035,2025-11-13,NA
0202305045,2025-11-13,NA
0202305055,2025-11-13,NA
0202305065,2025-11-13,NA
0202305075,2025-11-13,NA
0202305085,2025-11-13,NA
0202305091,2025-11-13,NA
0202305097,2025-11-13,NA
0202308000,2025-11-13,NA
0202308015,2025-11-13,NA
0202308025,2025-11-13,NA
0206100000,2025-11-13,NA
0206210000,2025-11-13,NA
0206220000,2025-11-13,NA
0206290000,2025-11-13,NA
0210200000,2025-11-13,NA
0508000000,NA,NA
0702002000,2025-11-13,NA
0702002002,2025-11-13,NA
0702002004,2025-11-13,NA
0702002006,2025-11-13,NA
0702002008,2025-11-13,NA
0702002019,2025-11-13,NA
0702002026,2025-11-13,NA
0702002032,2025-11-13,NA
0702002036,2025-11-13,NA
0702002042,2025-11-13,NA
0702002043,2025-11-13,NA
0702002044,2025-11-13,NA
0702002048,2025-11-13,NA
0702002050,2025-11-13,NA
0702002052,2025-11-13,NA
0702002062,2025-11-13,NA
0702002066,2025-11-13,NA
0702002081,2025-11-13,NA
0702002092,2025-11-13,NA
0702004000,2025-11-13,NA
0702004002,2025-11-13,NA
0702004004,2025-11-13,NA
0702004006,2025-11-13,NA
0702004008,2025-11-13,NA
0702004019,2025-11-13,NA
0702004021,2025-11-13,NA
0702004023,2025-11-13,NA
0702004027,2025-11-13,NA
0702004032,2025-11-13,NA
0702004037,2025-11-13,NA
0702004041,2025-11-13,NA
0702004047,2025-11-13,NA
0702004066,2025-11-13,NA
0702004081,2025-11-13,NA
0702004092,2025-11-13,NA
0702006000,2025-11-13,NA
0702006002,2025-11-13,NA
0702006004,2025-11-13,NA
0702006006,2025-11-13,NA
0702006008,2025-11-13,NA
0702006019,2025-11-13,NA
0702006021,2025-11-13,NA
0702006023,2025-11-13,NA
0702006027,2025-11-13,NA
0702006032,2025-11-13,NA
0702006033,2025-11-13,NA
0702006034,2025-11-13,NA
0702006037,2025-11-13,NA
0702006038,2025-11-13,NA
0702006039,2025-11-13,NA
0702006046,2025-11-13,NA
0702006066,2025-11-13,NA
0702006081,2025-11-13,NA
0702006092,2025-11-13,NA
0709990500,2025-11-13,NA
0709991000,2025-11-13,NA
0710801500,2025-11-13,NA
0711903000,2025-11-13,NA
0712320000,2025-11-13,NA
0712341000,2025-11-13,NA
0712342000,2025-11-13,NA
