hts8,ch99_code,source
73043130,9903.96.03,US_note_35c_rev9
73043160,9903.96.03,US_note_35c_rev9
73043900,9903.96.03,US_note_35c_rev9
73044130,9903.96.03,US_note_35c_rev9
73044160,9903.96.03,US_note_35c_rev9
73044900,9903.96.03,US_note_35c_rev9
73045110,9903.96.03,US_note_35c_rev9
73045150,9903.96.03,US_note_35c_rev9
73045910,9903.96.03,US_note_35c_rev9
73045920,9903.96.03,US_note_35c_rev9
73045960,9903.96.03,US_note_35c_rev9
73045980,9903.96.03,US_note_35c_rev9
73049010,9903.96.03,US_note_35c_rev9
73049030,9903.96.03,US_note_35c_rev9
73049050,9903.96.03,US_note_35c_rev9
73049070,9903.96.03,US_note_35c_rev9
73063010,9903.96.03,US_note_35c_rev9
73063030,9903.96.03,US_note_35c_rev9
73063050,9903.96.03,US_note_35c_rev9
73064010,9903.96.03,US_note_35c_rev9
73064050,9903.96.03,US_note_35c_rev9
73065010,9903.96.03,US_note_35c_rev9
73065030,9903.96.03,US_note_35c_rev9
73065050,9903.96.03,US_note_35c_rev9
73066110,9903.96.03,US_note_35c_rev9
73066130,9903.96.03,US_note_35c_rev9
73066150,9903.96.03,US_note_35c_rev9
73066170,9903.96.03,US_note_35c_rev9
73066910,9903.96.03,US_note_35c_rev9
73066930,9903.96.03,US_note_35c_rev9
73066950,9903.96.03,US_note_35c_rev9
73066970,9903.96.03,US_note_35c_rev9
73121005,9903.96.03,US_note_35c_rev9
73121010,9903.96.03,US_note_35c_rev9
73121020,9903.96.03,US_note_35c_rev9
73121030,9903.96.03,US_note_35c_rev9
73121050,9903.96.03,US_note_35c_rev9
73121060,9903.96.03,US_note_35c_rev9
73121070,9903.96.03,US_note_35c_rev9
73121080,9903.96.03,US_note_35c_rev9
73121090,9903.96.03,US_note_35c_rev9
73129000,9903.96.03,US_note_35c_rev9
73229000,9903.96.03,US_note_35c_rev9
73241000,9903.96.03,US_note_35c_rev9
73249000,9903.96.03,US_note_35c_rev9
73262000,9903.96.03,US_note_35c_rev9
74130090,9903.96.03,US_note_35c_rev9
76081000,9903.96.03,US_note_35c_rev9
76082000,9903.96.03,US_note_35c_rev9
83021060,9903.96.03,US_note_35c_rev9
83022000,9903.96.03,US_note_35c_rev9
83024230,9903.96.03,US_note_35c_rev9
83024960,9903.96.03,US_note_35c_rev9
83026030,9903.96.03,US_note_35c_rev9
84122100,9903.96.03,US_note_35c_rev9
84122980,9903.96.03,US_note_35c_rev9
84129090,9903.96.03,US_note_35c_rev9
84138100,9903.96.03,US_note_35c_rev9
84139190,9903.96.03,US_note_35c_rev9
84143040,9903.96.03,US_note_35c_rev9
84145965,9903.96.03,US_note_35c_rev9
84148016,9903.96.03,US_note_35c_rev9
84149030,9903.96.03,US_note_35c_rev9
84149041,9903.96.03,US_note_35c_rev9
84151060,9903.96.03,US_note_35c_rev9
84151090,9903.96.03,US_note_35c_rev9
84158101,9903.96.03,US_note_35c_rev9
84158201,9903.96.03,US_note_35c_rev9
84158300,9903.96.03,US_note_35c_rev9
84159040,9903.96.03,US_note_35c_rev9
84159080,9903.96.03,US_note_35c_rev9
84181000,9903.96.03,US_note_35c_rev9
84183000,9903.96.03,US_note_35c_rev9
84184000,9903.96.03,US_note_35c_rev9
84195010,9903.96.03,US_note_35c_rev9
84195050,9903.96.03,US_note_35c_rev9
84198150,9903.96.03,US_note_35c_rev9
84199010,9903.96.03,US_note_35c_rev9
84212900,9903.96.03,US_note_35c_rev9
84254200,9903.96.03,US_note_35c_rev9
84269900,9903.96.03,US_note_35c_rev9
84283300,9903.96.03,US_note_35c_rev9
84283900,9903.96.03,US_note_35c_rev9
84289003,9903.96.03,US_note_35c_rev9
84798965,9903.96.03,US_note_35c_rev9
84798995,9903.96.03,US_note_35c_rev9
84799045,9903.96.03,US_note_35c_rev9
84799055,9903.96.03,US_note_35c_rev9
84799065,9903.96.03,US_note_35c_rev9
84799075,9903.96.03,US_note_35c_rev9
84799085,9903.96.03,US_note_35c_rev9
84799095,9903.96.03,US_note_35c_rev9
84831010,9903.96.03,US_note_35c_rev9
84831050,9903.96.03,US_note_35c_rev9
84833040,9903.96.03,US_note_35c_rev9
84833080,9903.96.03,US_note_35c_rev9
84834010,9903.96.03,US_note_35c_rev9
84834050,9903.96.03,US_note_35c_rev9
84834090,9903.96.03,US_note_35c_rev9
84835060,9903.96.03,US_note_35c_rev9
84835090,9903.96.03,US_note_35c_rev9
84836040,9903.96.03,US_note_35c_rev9
84836080,9903.96.03,US_note_35c_rev9
84839020,9903.96.03,US_note_35c_rev9
84839030,9903.96.03,US_note_35c_rev9
84839050,9903.96.03,US_note_35c_rev9
84839080,9903.96.03,US_note_35c_rev9
85015360,9903.96.03,US_note_35c_rev9
85022000,9903.96.03,US_note_35c_rev9
85023100,9903.96.03,US_note_35c_rev9
85043120,9903.96.03,US_note_35c_rev9
85043140,9903.96.03,US_note_35c_rev9
85043160,9903.96.03,US_note_35c_rev9
85043200,9903.96.03,US_note_35c_rev9
85043300,9903.96.03,US_note_35c_rev9
85142040,9903.96.03,US_note_35c_rev9
85177100,9903.96.03,US_note_35c_rev9
85299073,9903.96.03,US_note_35c_rev9
85439088,9903.96.03,US_note_35c_rev9
