hts_prefix,annex,metal_type,source,effective_date
7308200035,1a,aluminum,proclamation,2026-04-06
76101000,1a,aluminum,proclamation,2026-04-06
76109000,1a,aluminum,proclamation,2026-04-06
76121000,1a,aluminum,us_note_16,2026-04-06
7612100000,1a,aluminum,proclamation,2026-04-06
76129010,1a,aluminum,proclamation,2026-04-06
76129050,1a,aluminum,us_note_16,2026-04-06
7612905000,1a,aluminum,proclamation,2026-04-06
76130000,1a,aluminum,us_note_16,2026-04-06
7613000000,1a,aluminum,proclamation,2026-04-06
76141050,1a,aluminum,proclamation,2026-04-06
76149020,1a,aluminum,proclamation,2026-04-06
76149040,1a,aluminum,proclamation,2026-04-06
76149050,1a,aluminum,proclamation,2026-04-06
7616109090,1a,aluminum,proclamation,2026-04-06
7616995120,1a,aluminum,proclamation,2026-04-06
7616995150,1a,aluminum,proclamation,2026-04-06
7616995175,1a,aluminum,proclamation,2026-04-06
7616995190,1a,aluminum,proclamation,2026-04-06
74061000,1a,copper,proclamation,2026-04-06
74062000,1a,copper,proclamation,2026-04-06
74071015,1a,copper,proclamation,2026-04-06
74071030,1a,copper,proclamation,2026-04-06
74071050,1a,copper,proclamation,2026-04-06
74072115,1a,copper,proclamation,2026-04-06
74072130,1a,copper,proclamation,2026-04-06
74072150,1a,copper,proclamation,2026-04-06
74072170,1a,copper,proclamation,2026-04-06
74072190,1a,copper,proclamation,2026-04-06
74072916,1a,copper,proclamation,2026-04-06
74072934,1a,copper,proclamation,2026-04-06
74072938,1a,copper,proclamation,2026-04-06
74072940,1a,copper,proclamation,2026-04-06
74072950,1a,copper,proclamation,2026-04-06
74081130,1a,copper,proclamation,2026-04-06
74081160,1a,copper,proclamation,2026-04-06
74081900,1a,copper,proclamation,2026-04-06
74082100,1a,copper,proclamation,2026-04-06
74082210,1a,copper,proclamation,2026-04-06
74082250,1a,copper,proclamation,2026-04-06
74082910,1a,copper,proclamation,2026-04-06
74082950,1a,copper,proclamation,2026-04-06
74091110,1a,copper,proclamation,2026-04-06
74091150,1a,copper,proclamation,2026-04-06
74091910,1a,copper,proclamation,2026-04-06
74091950,1a,copper,proclamation,2026-04-06
74091990,1a,copper,proclamation,2026-04-06
74092100,1a,copper,proclamation,2026-04-06
74092900,1a,copper,proclamation,2026-04-06
74093110,1a,copper,proclamation,2026-04-06
74093150,1a,copper,proclamation,2026-04-06
74093190,1a,copper,proclamation,2026-04-06
74093910,1a,copper,proclamation,2026-04-06
74093950,1a,copper,proclamation,2026-04-06
74093990,1a,copper,proclamation,2026-04-06
74094000,1a,copper,proclamation,2026-04-06
74099010,1a,copper,proclamation,2026-04-06
74099050,1a,copper,proclamation,2026-04-06
74099090,1a,copper,proclamation,2026-04-06
74101100,1a,copper,proclamation,2026-04-06
74101200,1a,copper,proclamation,2026-04-06
74102130,1a,copper,proclamation,2026-04-06
74102160,1a,copper,proclamation,2026-04-06
74102200,1a,copper,proclamation,2026-04-06
74111010,1a,copper,proclamation,2026-04-06
74111050,1a,copper,proclamation,2026-04-06
74112110,1a,copper,proclamation,2026-04-06
74112150,1a,copper,proclamation,2026-04-06
74112200,1a,copper,proclamation,2026-04-06
74112910,1a,copper,proclamation,2026-04-06
74112950,1a,copper,proclamation,2026-04-06
74121000,1a,copper,proclamation,2026-04-06
74122000,1a,copper,proclamation,2026-04-06
74130010,1a,copper,proclamation,2026-04-06
74130050,1a,copper,proclamation,2026-04-06
74130090,1a,copper,proclamation,2026-04-06
74151000,1a,copper,proclamation,2026-04-06
74152100,1a,copper,proclamation,2026-04-06
74152900,1a,copper,proclamation,2026-04-06
74153305,1a,copper,proclamation,2026-04-06
74153310,1a,copper,proclamation,2026-04-06
74153380,1a,copper,proclamation,2026-04-06
74153900,1a,copper,proclamation,2026-04-06
74181000,1a,copper,proclamation,2026-04-06
74182010,1a,copper,proclamation,2026-04-06
74182050,1a,copper,proclamation,2026-04-06
74192000,1a,copper,proclamation,2026-04-06
74198003,1a,copper,proclamation,2026-04-06
74198006,1a,copper,proclamation,2026-04-06
74198009,1a,copper,proclamation,2026-04-06
74198015,1a,copper,proclamation,2026-04-06
74198016,1a,copper,proclamation,2026-04-06
74198017,1a,copper,proclamation,2026-04-06
74198030,1a,copper,proclamation,2026-04-06
74198050,1a,copper,proclamation,2026-04-06
7206,1a,steel,us_note_16,2026-04-06
7207,1a,steel,us_note_16,2026-04-06
7208,1a,steel,us_note_16,2026-04-06
7209,1a,steel,us_note_16,2026-04-06
7210,1a,steel,us_note_16,2026-04-06
7211,1a,steel,us_note_16,2026-04-06
7212,1a,steel,us_note_16,2026-04-06
7213,1a,steel,us_note_16,2026-04-06
7214,1a,steel,us_note_16,2026-04-06
7215,1a,steel,us_note_16,2026-04-06
72161000,1a,steel,us_note_16,2026-04-06
72162100,1a,steel,us_note_16,2026-04-06
72162200,1a,steel,us_note_16,2026-04-06
72163100,1a,steel,us_note_16,2026-04-06
72163200,1a,steel,us_note_16,2026-04-06
72163300,1a,steel,us_note_16,2026-04-06
72164000,1a,steel,us_note_16,2026-04-06
72165000,1a,steel,us_note_16,2026-04-06
7216910010,1a,steel,proclamation,2026-04-06
72169900,1a,steel,us_note_16,2026-04-06
7217,1a,steel,us_note_16,2026-04-06
7218,1a,steel,us_note_16,2026-04-06
7219,1a,steel,us_note_16,2026-04-06
7220,1a,steel,us_note_16,2026-04-06
7221,1a,steel,us_note_16,2026-04-06
7222,1a,steel,us_note_16,2026-04-06
7223,1a,steel,us_note_16,2026-04-06
7224,1a,steel,us_note_16,2026-04-06
7225,1a,steel,us_note_16,2026-04-06
7226,1a,steel,us_note_16,2026-04-06
7227,1a,steel,us_note_16,2026-04-06
7228,1a,steel,us_note_16,2026-04-06
7229,1a,steel,us_note_16,2026-04-06
73011000,1a,steel,us_note_16,2026-04-06
73012010,1a,steel,proclamation,2026-04-06
73012050,1a,steel,proclamation,2026-04-06
730210,1a,steel,us_note_16,2026-04-06
73023000,1a,steel,proclamation,2026-04-06
73024000,1a,steel,us_note_16,2026-04-06
730290,1a,steel,us_note_16,2026-04-06
7304,1a,steel,us_note_16,2026-04-06
7305,1a,steel,us_note_16,2026-04-06
7306,1a,steel,us_note_16,2026-04-06
73071930,1a,steel,proclamation,2026-04-06
73071990,1a,steel,proclamation,2026-04-06
73072110,1a,steel,proclamation,2026-04-06
73072150,1a,steel,proclamation,2026-04-06
73072210,1a,steel,proclamation,2026-04-06
73072250,1a,steel,proclamation,2026-04-06
73072300,1a,steel,proclamation,2026-04-06
73072900,1a,steel,proclamation,2026-04-06
73079110,1a,steel,proclamation,2026-04-06
73079130,1a,steel,proclamation,2026-04-06
73079150,1a,steel,proclamation,2026-04-06
73079230,1a,steel,proclamation,2026-04-06
73079290,1a,steel,proclamation,2026-04-06
73079330,1a,steel,proclamation,2026-04-06
73079360,1a,steel,proclamation,2026-04-06
73079390,1a,steel,proclamation,2026-04-06
73079910,1a,steel,proclamation,2026-04-06
73079930,1a,steel,proclamation,2026-04-06
73079950,1a,steel,proclamation,2026-04-06
73081000,1a,steel,proclamation,2026-04-06
73082000,1a,steel,proclamation,2026-04-06
73083010,1a,steel,proclamation,2026-04-06
73083050,1a,steel,proclamation,2026-04-06
73084000,1a,steel,proclamation,2026-04-06
73089030,1a,steel,proclamation,2026-04-06
73089060,1a,steel,proclamation,2026-04-06
73089070,1a,steel,proclamation,2026-04-06
73089095,1a,steel,proclamation,2026-04-06
73090000,1a,steel,proclamation,2026-04-06
73101000,1a,steel,proclamation,2026-04-06
73102100,1a,steel,proclamation,2026-04-06
73102900,1a,steel,proclamation,2026-04-06
73110000,1a,steel,proclamation,2026-04-06
73121005,1a,steel,proclamation,2026-04-06
73121010,1a,steel,proclamation,2026-04-06
73121020,1a,steel,proclamation,2026-04-06
73121030,1a,steel,proclamation,2026-04-06
73121050,1a,steel,proclamation,2026-04-06
73121060,1a,steel,proclamation,2026-04-06
73121070,1a,steel,proclamation,2026-04-06
73121080,1a,steel,proclamation,2026-04-06
73121090,1a,steel,proclamation,2026-04-06
73129000,1a,steel,proclamation,2026-04-06
73130000,1a,steel,proclamation,2026-04-06
73141210,1a,steel,proclamation,2026-04-06
73141220,1a,steel,proclamation,2026-04-06
73141230,1a,steel,proclamation,2026-04-06
73141260,1a,steel,proclamation,2026-04-06
73141290,1a,steel,proclamation,2026-04-06
73141410,1a,steel,proclamation,2026-04-06
73141420,1a,steel,proclamation,2026-04-06
73141430,1a,steel,proclamation,2026-04-06
73141460,1a,steel,proclamation,2026-04-06
73141490,1a,steel,proclamation,2026-04-06
73141901,1a,steel,proclamation,2026-04-06
73142000,1a,steel,proclamation,2026-04-06
73143110,1a,steel,proclamation,2026-04-06
73143150,1a,steel,proclamation,2026-04-06
73143900,1a,steel,proclamation,2026-04-06
73144100,1a,steel,proclamation,2026-04-06
73144200,1a,steel,proclamation,2026-04-06
73144930,1a,steel,proclamation,2026-04-06
73144960,1a,steel,proclamation,2026-04-06
73145000,1a,steel,proclamation,2026-04-06
73151100,1a,steel,proclamation,2026-04-06
73151200,1a,steel,proclamation,2026-04-06
73151900,1a,steel,proclamation,2026-04-06
73152010,1a,steel,proclamation,2026-04-06
73152050,1a,steel,proclamation,2026-04-06
73158100,1a,steel,proclamation,2026-04-06
73158210,1a,steel,proclamation,2026-04-06
73158230,1a,steel,proclamation,2026-04-06
73158250,1a,steel,proclamation,2026-04-06
73158270,1a,steel,proclamation,2026-04-06
73158910,1a,steel,proclamation,2026-04-06
73158930,1a,steel,proclamation,2026-04-06
73158950,1a,steel,proclamation,2026-04-06
73159000,1a,steel,proclamation,2026-04-06
73160000,1a,steel,proclamation,2026-04-06
73170010,1a,steel,proclamation,2026-04-06
73170020,1a,steel,proclamation,2026-04-06
73170030,1a,steel,proclamation,2026-04-06
73170055,1a,steel,proclamation,2026-04-06
73170065,1a,steel,proclamation,2026-04-06
73170075,1a,steel,proclamation,2026-04-06
73181100,1a,steel,proclamation,2026-04-06
73181200,1a,steel,proclamation,2026-04-06
73181300,1a,steel,proclamation,2026-04-06
73181410,1a,steel,proclamation,2026-04-06
73181450,1a,steel,proclamation,2026-04-06
73181520,1a,steel,proclamation,2026-04-06
73181540,1a,steel,proclamation,2026-04-06
73181550,1a,steel,proclamation,2026-04-06
73181560,1a,steel,proclamation,2026-04-06
73181580,1a,steel,proclamation,2026-04-06
73181600,1a,steel,proclamation,2026-04-06
73181900,1a,steel,proclamation,2026-04-06
73182100,1a,steel,proclamation,2026-04-06
73182200,1a,steel,proclamation,2026-04-06
73182300,1a,steel,proclamation,2026-04-06
73182400,1a,steel,proclamation,2026-04-06
73182900,1a,steel,proclamation,2026-04-06
73194020,1a,steel,proclamation,2026-04-06
73194030,1a,steel,proclamation,2026-04-06
73194050,1a,steel,proclamation,2026-04-06
73199010,1a,steel,proclamation,2026-04-06
73199090,1a,steel,proclamation,2026-04-06
73201030,1a,steel,proclamation,2026-04-06
73201060,1a,steel,proclamation,2026-04-06
73201090,1a,steel,proclamation,2026-04-06
73202010,1a,steel,proclamation,2026-04-06
73202050,1a,steel,proclamation,2026-04-06
73209010,1a,steel,proclamation,2026-04-06
73209050,1a,steel,proclamation,2026-04-06
7325100010,1a,steel,proclamation,2026-04-06
7325100020,1a,steel,proclamation,2026-04-06
7325100025,1a,steel,proclamation,2026-04-06
7325100030,1a,steel,proclamation,2026-04-06
7325100080,1a,steel,proclamation,2026-04-06
73259100,1a,steel,proclamation,2026-04-06
73259910,1a,steel,proclamation,2026-04-06
73259950,1a,steel,proclamation,2026-04-06
73261100,1a,steel,proclamation,2026-04-06
73261900,1a,steel,proclamation,2026-04-06
7326200090,1a,steel,proclamation,2026-04-06
73269010,1a,steel,proclamation,2026-04-06
73269025,1a,steel,proclamation,2026-04-06
73269060,1a,steel,proclamation,2026-04-06
7326908605,1a,steel,proclamation,2026-04-06
7326908610,1a,steel,proclamation,2026-04-06
7326908630,1a,steel,proclamation,2026-04-06
7326908635,1a,steel,proclamation,2026-04-06
7326908645,1a,steel,proclamation,2026-04-06
7326908688,1a,steel,proclamation,2026-04-06
7601,1a,steel,proclamation,2026-04-06
7604,1a,steel,proclamation,2026-04-06
7605,1a,steel,proclamation,2026-04-06
7606,1a,steel,proclamation,2026-04-06
7607,1a,steel,proclamation,2026-04-06
7608,1a,steel,proclamation,2026-04-06
7609,1a,steel,proclamation,2026-04-06
76141010,1a,steel,proclamation,2026-04-06
7616995160,1a,steel,proclamation,2026-04-06
7616995170,1a,steel,proclamation,2026-04-06
761510,1b,aluminum,proclamation,2026-04-06
7615102015,1b,aluminum,us_note_16,2026-04-06
7615102025,1b,aluminum,us_note_16,2026-04-06
7615103015,1b,aluminum,us_note_16,2026-04-06
7615103025,1b,aluminum,us_note_16,2026-04-06
7615105020,1b,aluminum,us_note_16,2026-04-06
7615105040,1b,aluminum,us_note_16,2026-04-06
7615107125,1b,aluminum,us_note_16,2026-04-06
7615107130,1b,aluminum,us_note_16,2026-04-06
7615107155,1b,aluminum,us_note_16,2026-04-06
7615107180,1b,aluminum,us_note_16,2026-04-06
76151091,1b,aluminum,proclamation,2026-04-06
76152000,1b,aluminum,proclamation,2026-04-06
761699,1b,aluminum,proclamation,2026-04-06
76169910,1b,aluminum,proclamation,2026-04-06
7616995130,1b,aluminum,us_note_16,2026-04-06
7616995140,1b,aluminum,us_note_16,2026-04-06
83021030,1b,aluminum,proclamation,2026-04-06
83022000,1b,aluminum,proclamation,2026-04-06
830230,1b,aluminum,proclamation,2026-04-06
8302303010,1b,aluminum,us_note_16,2026-04-06
8302303060,1b,aluminum,us_note_16,2026-04-06
830241,1b,aluminum,proclamation,2026-04-06
8302416015,1b,aluminum,us_note_16,2026-04-06
8302416045,1b,aluminum,us_note_16,2026-04-06
8302416050,1b,aluminum,us_note_16,2026-04-06
8302416080,1b,aluminum,us_note_16,2026-04-06
83025000,1b,aluminum,proclamation,2026-04-06
83026030,1b,aluminum,proclamation,2026-04-06
83026090,1b,aluminum,proclamation,2026-04-06
830510,1b,aluminum,proclamation,2026-04-06
8305100050,1b,aluminum,us_note_16,2026-04-06
83063000,1b,aluminum,proclamation,2026-04-06
83079060,1b,aluminum,proclamation,2026-04-06
8309900020,1b,aluminum,us_note_16,2026-04-06
8309900025,1b,aluminum,us_note_16,2026-04-06
8412909070,1b,aluminum,us_note_16,2026-04-06
8412909075,1b,aluminum,us_note_16,2026-04-06
841459,1b,aluminum,proclamation,2026-04-06
8414596590,1b,aluminum,us_note_16,2026-04-06
841590,1b,aluminum,proclamation,2026-04-06
8415908010,1b,aluminum,us_note_16,2026-04-06
8415908020,1b,aluminum,us_note_16,2026-04-06
8415908045,1b,aluminum,us_note_16,2026-04-06
8415908085,1b,aluminum,us_note_16,2026-04-06
841899,1b,aluminum,proclamation,2026-04-06
8418998005,1b,aluminum,us_note_16,2026-04-06
8418998050,1b,aluminum,us_note_16,2026-04-06
8418998060,1b,aluminum,us_note_16,2026-04-06
84195010,1b,aluminum,proclamation,2026-04-06
84195050,1b,aluminum,proclamation,2026-04-06
84199010,1b,aluminum,proclamation,2026-04-06
842290,1b,aluminum,proclamation,2026-04-06
8422900640,1b,aluminum,us_note_16,2026-04-06
842490,1b,aluminum,proclamation,2026-04-06
8424909080,1b,aluminum,us_note_16,2026-04-06
84672200,1b,aluminum,proclamation,2026-04-06
84672900,1b,aluminum,proclamation,2026-04-06
84678100,1b,aluminum,proclamation,2026-04-06
84678950,1b,aluminum,proclamation,2026-04-06
8471,1b,aluminum,proclamation,2026-04-06
848190,1b,aluminum,proclamation,2026-04-06
8481909060,1b,aluminum,us_note_16,2026-04-06
8481909085,1b,aluminum,us_note_16,2026-04-06
8483405020,1b,aluminum,us_note_16,2026-04-06
848390,1b,aluminum,proclamation,2026-04-06
8483905020,1b,aluminum,us_note_16,2026-04-06
848790,1b,aluminum,proclamation,2026-04-06
8487900080,1b,aluminum,us_note_16,2026-04-06
8501640110,1b,aluminum,us_note_16,2026-04-06
85022000,1b,aluminum,proclamation,2026-04-06
850231,1b,aluminum,proclamation,2026-04-06
850300,1b,aluminum,proclamation,2026-04-06
8503009520,1b,aluminum,us_note_16,2026-04-06
8503009546,1b,aluminum,us_note_16,2026-04-06
8503009570,1b,aluminum,us_note_16,2026-04-06
85043120,1b,aluminum,proclamation,2026-04-06
85043140,1b,aluminum,proclamation,2026-04-06
85043160,1b,aluminum,proclamation,2026-04-06
85049041,1b,aluminum,proclamation,2026-04-06
85087000,1b,aluminum,proclamation,2026-04-06
85139020,1b,aluminum,proclamation,2026-04-06
85159020,1b,aluminum,proclamation,2026-04-06
851650,1b,aluminum,proclamation,2026-04-06
851690,1b,aluminum,proclamation,2026-04-06
85169050,1b,aluminum,proclamation,2026-04-06
8516908050,1b,aluminum,us_note_16,2026-04-06
85177100,1b,aluminum,proclamation,2026-04-06
85299073,1b,aluminum,proclamation,2026-04-06
853690,1b,aluminum,proclamation,2026-04-06
8536908585,1b,aluminum,us_note_16,2026-04-06
85381000,1b,aluminum,proclamation,2026-04-06
854390,1b,aluminum,proclamation,2026-04-06
8543908885,1b,aluminum,us_note_16,2026-04-06
85441900,1b,aluminum,proclamation,2026-04-06
85444290,1b,aluminum,proclamation,2026-04-06
85444920,1b,aluminum,proclamation,2026-04-06
85444990,1b,aluminum,proclamation,2026-04-06
85446020,1b,aluminum,proclamation,2026-04-06
85446060,1b,aluminum,proclamation,2026-04-06
854790,1b,aluminum,proclamation,2026-04-06
8547900020,1b,aluminum,us_note_16,2026-04-06
8547900030,1b,aluminum,us_note_16,2026-04-06
8547900040,1b,aluminum,us_note_16,2026-04-06
87081060,1b,aluminum,proclamation,2026-04-06
870829,1b,aluminum,proclamation,2026-04-06
8708295160,1b,aluminum,us_note_16,2026-04-06
870880,1b,aluminum,proclamation,2026-04-06
8708806590,1b,aluminum,us_note_16,2026-04-06
870899,1b,aluminum,proclamation,2026-04-06
8708996890,1b,aluminum,us_note_16,2026-04-06
871680,1b,aluminum,proclamation,2026-04-06
8716805010,1b,aluminum,us_note_16,2026-04-06
85444210,1b,copper,proclamation,2026-04-06
85444220,1b,copper,proclamation,2026-04-06
85444910,1b,copper,proclamation,2026-04-06
73211110,1b,steel,proclamation,2026-04-06
73211130,1b,steel,proclamation,2026-04-06
73211160,1b,steel,proclamation,2026-04-06
73211200,1b,steel,proclamation,2026-04-06
73211900,1b,steel,proclamation,2026-04-06
73218110,1b,steel,proclamation,2026-04-06
73218150,1b,steel,proclamation,2026-04-06
73218210,1b,steel,proclamation,2026-04-06
73218250,1b,steel,proclamation,2026-04-06
73218900,1b,steel,proclamation,2026-04-06
73219010,1b,steel,proclamation,2026-04-06
73219020,1b,steel,proclamation,2026-04-06
73219040,1b,steel,proclamation,2026-04-06
73219050,1b,steel,proclamation,2026-04-06
73219060,1b,steel,proclamation,2026-04-06
73221900,1b,steel,proclamation,2026-04-06
73229000,1b,steel,proclamation,2026-04-06
73231000,1b,steel,proclamation,2026-04-06
73239300,1b,steel,proclamation,2026-04-06
73239400,1b,steel,proclamation,2026-04-06
73239910,1b,steel,proclamation,2026-04-06
73239930,1b,steel,proclamation,2026-04-06
73239950,1b,steel,proclamation,2026-04-06
73239970,1b,steel,proclamation,2026-04-06
73239990,1b,steel,proclamation,2026-04-06
73241000,1b,steel,proclamation,2026-04-06
73242900,1b,steel,proclamation,2026-04-06
