hts_prefix,metal_type,kind,effective_date,source
7206,steel,mill,,note_16(b); Proc 9705 (2018)
7207,steel,mill,,note_16(b); Proc 9705 (2018)
7208,steel,mill,,note_16(b); Proc 9705 (2018)
7209,steel,mill,,note_16(b); Proc 9705 (2018)
7210,steel,mill,,note_16(b); Proc 9705 (2018)
7211,steel,mill,,note_16(b); Proc 9705 (2018)
7212,steel,mill,,note_16(b); Proc 9705 (2018)
7213,steel,mill,,note_16(b); Proc 9705 (2018)
7214,steel,mill,,note_16(b); Proc 9705 (2018)
7215,steel,mill,,note_16(b); Proc 9705 (2018)
721610,steel,mill,,note_16(b); 7216 except .61/.69/.91
721621,steel,mill,,note_16(b); 7216 except .61/.69/.91
721622,steel,mill,,note_16(b); 7216 except .61/.69/.91
721631,steel,mill,,note_16(b); 7216 except .61/.69/.91
721632,steel,mill,,note_16(b); 7216 except .61/.69/.91
721633,steel,mill,,note_16(b); 7216 except .61/.69/.91
721640,steel,mill,,note_16(b); 7216 except .61/.69/.91
721650,steel,mill,,note_16(b); 7216 except .61/.69/.91
721699,steel,mill,,note_16(b); 7216 except .61/.69/.91
7217,steel,mill,,note_16(b); Proc 9705 (2018)
7218,steel,mill,,note_16(b); Proc 9705 (2018)
7219,steel,mill,,note_16(b); Proc 9705 (2018)
7220,steel,mill,,note_16(b); Proc 9705 (2018)
7221,steel,mill,,note_16(b); Proc 9705 (2018)
7222,steel,mill,,note_16(b); Proc 9705 (2018)
7223,steel,mill,,note_16(b); Proc 9705 (2018)
7224,steel,mill,,note_16(b); Proc 9705 (2018)
7225,steel,mill,,note_16(b); Proc 9705 (2018)
7226,steel,mill,,note_16(b); Proc 9705 (2018)
7227,steel,mill,,note_16(b); Proc 9705 (2018)
7228,steel,mill,,note_16(b); Proc 9705 (2018)
7229,steel,mill,,note_16(b); Proc 9705 (2018)
730110,steel,mill,,note_16(b); Proc 9705 (2018)
730210,steel,mill,,note_16(b); Proc 9705 (2018)
730240,steel,mill,,note_16(b); Proc 9705 (2018)
730290,steel,mill,,note_16(b); Proc 9705 (2018)
7304,steel,mill,,note_16(b); Proc 9705 (2018)
7305,steel,mill,,note_16(b); Proc 9705 (2018)
7306,steel,mill,,note_16(b); Proc 9705 (2018)
73170030,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317005503,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317005505,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317005507,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317005560,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317005580,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
7317006560,steel,derivative,,note_16(a)(ii); Proc 9980 (2020)
73012010,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73012050,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73023000,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
73072110,steel,derivative,2025-03-12,note_16(m); Proc 10896 Annex I
