ch99_code,validity_start,validity_end,coverage_share,source,source_note
9903.88.05,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.06,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.07,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.10,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.11,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.12,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.13,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.14,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.17,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.18,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.19,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.20,NA,NA,0,heading_text,NEEDS_REVIEW: exclusion phrasing but NO window in any revision text (42 revisions); coverage 0 until a curator supplies the window.
9903.88.21,NA,NA,0,curator,"US note 20(z)-(gg): PERMANENT CONDITIONAL derived-rate carve-out, not a USTR product exclusion. Applies only when the entry duty rate derives from another subheading on a 301 list. coverage_share 0 pending Phase-2 calibration (do not full-line zero)."
