hts10,coverage_share,n_months,imports_usd,source
3926909989,0,7,1217099492,calibration_2026-06-11_stable_window_2025-09_2026-03
8473305100,0.5746795995961356,6,770959985,calibration_2026-06-11_stable_window_2025-09_2026-03
6307909891,0.8938000952939941,7,707456467,calibration_2026-06-11_stable_window_2025-09_2026-03
8544422000,0.42586079515849945,6,596184561,calibration_2026-06-11_stable_window_2025-09_2026-03
7326908688,0.47611225744765945,6,486389101,calibration_2026-06-11_stable_window_2025-09_2026-03
8544429090,0,6,407568358,calibration_2026-06-11_stable_window_2025-09_2026-03
8473301180,0.6016613665775172,6,371101889,calibration_2026-06-11_stable_window_2025-09_2026-03
8537109170,0.590308679933155,6,338317991,calibration_2026-06-11_stable_window_2025-09_2026-03
8534000020,0.19159527634959173,6,312382123,calibration_2026-06-11_stable_window_2025-09_2026-03
8543709860,0,6,240634904,calibration_2026-06-11_stable_window_2025-09_2026-03
8413919096,0,6,198605896,calibration_2026-06-11_stable_window_2025-09_2026-03
8431200000,0.5991524018059071,6,192151161,calibration_2026-06-11_stable_window_2025-09_2026-03
9401710031,0.6269857232012548,6,161881171,calibration_2026-06-11_stable_window_2025-09_2026-03
3923500000,0.02063399710188752,6,156245045,calibration_2026-06-11_stable_window_2025-09_2026-03
8479909596,0,6,151493217,calibration_2026-06-11_stable_window_2025-09_2026-03
3923210095,0.8720273215018088,6,150230562,calibration_2026-06-11_stable_window_2025-09_2026-03
8504409580,0,6,150033504,calibration_2026-06-11_stable_window_2025-09_2026-03
9401616011,0.46644649360509577,6,141220804,calibration_2026-06-11_stable_window_2025-09_2026-03
8418500080,0.5652489747565248,6,139968599,calibration_2026-06-11_stable_window_2025-09_2026-03
9004900090,0.4514577119798191,7,134250190,calibration_2026-06-11_stable_window_2025-09_2026-03
9401991085,0.477335140138402,7,131885416,calibration_2026-06-11_stable_window_2025-09_2026-03
7007190000,0.3508867784027599,6,114009782,calibration_2026-06-11_stable_window_2025-09_2026-03
9018199560,0.08923844687327391,6,110929093,calibration_2026-06-11_stable_window_2025-09_2026-03
8536308000,0.632530883581711,6,94841335,calibration_2026-06-11_stable_window_2025-09_2026-03
8421210000,0,6,92437366,calibration_2026-06-11_stable_window_2025-09_2026-03
8501314000,0.6063846127907607,6,89783417,calibration_2026-06-11_stable_window_2025-09_2026-03
9022906000,0.07514811379266205,6,82281630,calibration_2026-06-11_stable_window_2025-09_2026-03
3401190000,0.9328681301315824,7,80835493,calibration_2026-06-11_stable_window_2025-09_2026-03
3926909910,0.4408482273216167,7,80296406,calibration_2026-06-11_stable_window_2025-09_2026-03
8511400000,0.94900018360301,6,79279846,calibration_2026-06-11_stable_window_2025-09_2026-03
8421390115,0.16617301906950885,6,77719601,calibration_2026-06-11_stable_window_2025-09_2026-03
6210105010,1,7,77093551,calibration_2026-06-11_stable_window_2025-09_2026-03
8536904000,0.01869482928518254,6,76494321,calibration_2026-06-11_stable_window_2025-09_2026-03
8414308030,0.4757874976367517,6,75812465,calibration_2026-06-11_stable_window_2025-09_2026-03
8424909080,0.7065089167188257,6,70659312,calibration_2026-06-11_stable_window_2025-09_2026-03
8419903000,0.13202682771165777,6,70120955,calibration_2026-06-11_stable_window_2025-09_2026-03
