ch99_code,hts10,n_revisions,first_rev,last_rev
9903.88.21,2202993600,42,basic,2026_rev_9
9903.88.21,2202993700,42,basic,2026_rev_9
9903.88.21,5810921000,42,basic,2026_rev_9
9903.88.21,5810991000,42,basic,2026_rev_9
9903.88.21,5810999000,42,basic,2026_rev_9
9903.88.21,8205906000,42,basic,2026_rev_9
9903.88.21,8206000000,42,basic,2026_rev_9
9903.88.21,8215200000,42,basic,2026_rev_9
9903.88.21,9620001500,42,basic,2026_rev_9
9903.88.22,2202993600,42,basic,2026_rev_9
9903.88.22,2202993700,42,basic,2026_rev_9
9903.88.22,5810921000,42,basic,2026_rev_9
9903.88.22,5810991000,42,basic,2026_rev_9
9903.88.22,5810999000,42,basic,2026_rev_9
9903.88.22,8205906000,42,basic,2026_rev_9
9903.88.22,8206000000,42,basic,2026_rev_9
9903.88.22,8215200000,42,basic,2026_rev_9
9903.88.22,9620001500,42,basic,2026_rev_9
9903.88.23,2202993600,42,basic,2026_rev_9
9903.88.23,2202993700,42,basic,2026_rev_9
9903.88.23,5810921000,42,basic,2026_rev_9
9903.88.23,5810991000,42,basic,2026_rev_9
9903.88.23,5810999000,42,basic,2026_rev_9
9903.88.23,8205906000,42,basic,2026_rev_9
9903.88.23,8206000000,42,basic,2026_rev_9
9903.88.23,8215200000,42,basic,2026_rev_9
9903.88.23,9620001500,42,basic,2026_rev_9
9903.88.24,2202993600,42,basic,2026_rev_9
9903.88.24,2202993700,42,basic,2026_rev_9
9903.88.24,5810921000,42,basic,2026_rev_9
9903.88.24,5810991000,42,basic,2026_rev_9
9903.88.24,5810999000,42,basic,2026_rev_9
9903.88.24,8205906000,42,basic,2026_rev_9
9903.88.24,8206000000,42,basic,2026_rev_9
9903.88.24,8215200000,42,basic,2026_rev_9
9903.88.24,9620001500,42,basic,2026_rev_9
9903.88.25,2106905200,42,basic,2026_rev_9
9903.88.25,2106905400,42,basic,2026_rev_9
9903.88.25,8215100000,42,basic,2026_rev_9
9903.88.25,9005904000,42,basic,2026_rev_9
9903.88.25,9005908001,42,basic,2026_rev_9
9903.88.25,9110110000,42,basic,2026_rev_9
9903.88.25,9110902000,42,basic,2026_rev_9
9903.88.25,9608500000,42,basic,2026_rev_9
9903.88.26,2106905200,42,basic,2026_rev_9
9903.88.26,2106905400,42,basic,2026_rev_9
9903.88.26,8215100000,42,basic,2026_rev_9
9903.88.26,9005904000,42,basic,2026_rev_9
9903.88.26,9005908001,42,basic,2026_rev_9
9903.88.26,9110110000,42,basic,2026_rev_9
9903.88.26,9110902000,42,basic,2026_rev_9
9903.88.26,9608500000,42,basic,2026_rev_9
9903.88.27,2106905200,42,basic,2026_rev_9
9903.88.27,2106905400,42,basic,2026_rev_9
9903.88.27,8215100000,42,basic,2026_rev_9
9903.88.27,9005904000,42,basic,2026_rev_9
9903.88.27,9005908001,42,basic,2026_rev_9
9903.88.27,9110110000,42,basic,2026_rev_9
9903.88.27,9110902000,42,basic,2026_rev_9
9903.88.27,9608500000,42,basic,2026_rev_9
9903.88.28,2106905200,42,basic,2026_rev_9
9903.88.28,2106905400,42,basic,2026_rev_9
9903.88.28,8215100000,42,basic,2026_rev_9
9903.88.28,9005904000,42,basic,2026_rev_9
9903.88.28,9005908001,42,basic,2026_rev_9
9903.88.28,9110110000,42,basic,2026_rev_9
9903.88.28,9110902000,42,basic,2026_rev_9
9903.88.28,9608500000,42,basic,2026_rev_9
9903.88.69,0304725000,42,basic,2026_rev_9
9903.88.69,0304831015,42,basic,2026_rev_9
9903.88.69,0304831020,42,basic,2026_rev_9
9903.88.69,0304835015,42,basic,2026_rev_9
9903.88.69,0304835020,42,basic,2026_rev_9
9903.88.69,0304835090,42,basic,2026_rev_9
9903.88.69,0505100050,42,basic,2026_rev_9
9903.88.69,0505100055,42,basic,2026_rev_9
9903.88.69,1605102010,42,basic,2026_rev_9
9903.88.69,1605102022,42,basic,2026_rev_9
9903.88.69,1605102030,42,basic,2026_rev_9
9903.88.69,1605102090,42,basic,2026_rev_9
9903.88.69,2805110000,42,basic,2026_rev_9
9903.88.69,2917125000,42,basic,2026_rev_9
9903.88.69,2929905095,42,basic,2026_rev_9
9903.88.69,3401190000,42,basic,2026_rev_9
9903.88.69,3808945010,42,basic,2026_rev_9
9903.88.69,3815110000,42,basic,2026_rev_9
9903.88.69,3815190000,42,basic,2026_rev_9
9903.88.69,3906905000,42,basic,2026_rev_9
